# id   lat         lon           alt   title /other title/, cat
8272   42.3445078   78.4213730  3689  вер. Атджайлау
8274   42.2407097   78.4585042  4202  вер. пик Дементьева
8275   42.2221743   78.4500801  4345  вер. пик Тельмана /пик Акстинаса/
8276   42.2160499   78.4662095  4143  вер. пик Литовских Альпинистов
8277   42.2172744   78.4217726  4250  пер. Арчалытор Бок., 1Б
8278   42.1908333   78.5330556  5072  вер. пик Джигит
8279   42.2948813   78.5831102  3876  пер. Семи Oзер, 2А
8280   42.2928696   78.4204143     0  вер. пик Томских Спасателей
8281   42.2699045   78.4264776  4193  вер. пик Телеты
8282   42.2794318   78.4264084     0  вер. пик ГТО
8283   42.2855961   78.4346450     0  вер. пик ГЭРО
8284   42.2819350   78.4277258     0  вер. пик ГТО Сев.
8285   42.2879520   78.4409226  4202  вер. пик Студентов
8286   42.2896769   78.4449664  4215  вер. Героев Краснодона
8287   42.2919152   78.4479179  4122  вер. пик Менделеевец
8288   42.2993583   78.4585985  3986  вер. пик Угловой
8289   42.3014266   78.4049976     0  вер. пик Саакадзе
8290   42.3166805   78.4061095  4200  вер. Треугольник
8291   42.3332862   78.4232847  3960  вер. Ю.Фучека
8292   42.3418550   78.4241966  3860  вер. 800-лет Москвы
8294   42.1743287   78.5107974  4797  вер. пик Слоненок
8295   42.1798106   78.5108335  4695  вер. Фестивальная
8297   42.1608634   78.5152168  4400  пер. Облачный С., 2Б
8298   42.1982437   78.5672364  4612  вер. пик Бригантина
8299   42.1158116   78.2887907     0  пер. Загадка Двойная, 3А
8300   42.1118402   78.2798912     0  вер. Загадка
8301   42.0835441   78.2486058  4500  пер. Скалистый В. /Ложный/, 2А
8302   42.1917944   78.1333065  3985  вер. Джилису
8303   42.1607587   78.1508601     0  пер. Каратакия С., 1А
8304   42.1048147   78.1433698     0  пер. Лавинный В., 2А
8305   42.2074448   78.2656080     0  пер. Чатыртор Ю.
8306   42.2066119   78.2682790  4189  вер. Сахарная Голова
8307   42.1540841   78.3974375  5020  вер. Огуз-Баши /пик Джеты-Огуз-Баши/
8308   42.1296500   78.4111000  4503  пер. Фестивальный Ложный
8309   42.1713638   78.4521266  4850  пер. ВГУ-400-II, 3А
8310   42.1945638   78.4504771     0  пер. Командор, 1Б
8311   42.1977474   78.5546529  4740  вер. пик Альбатрос
8312   42.2034985   78.5150536  4340  вер. пик Тамма
8313   42.1694195   78.4640846  5281  вер. пик Каракольский
8314   42.2012472   78.4444152  4720  вер. пик Блюхера
8315   42.2061704   78.4426175  4700  вер. пик Карбышева
8316   42.1959041   78.4424953  4750  вер. пик Тухачевского
8317   42.2172487   78.4434054  4270  вер. пик Дюкло /пик Якира/
8318   42.1886584   78.4385416     0  вер. пик Уборевича
